market_id,market_name,weather_date,weather_code,temperature_2m_mean_c,temperature_2m_max_c,temperature_2m_min_c,apparent_temperature_mean_c,precipitation_sum_mm,rain_sum_mm,precipitation_hours,wind_speed_10m_max_kmh,is_rain_day,source,fetched_at_utc
1,Singapore,2024-01-01,63,25.5,29.0,23.1,30.5,12.5,12.5,13.0,14.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-02,63,25.9,29.8,23.3,30.9,25.8,25.8,13.0,15.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-03,65,25.7,29.5,23.4,30.8,25.6,25.6,10.0,13.3,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-04,63,24.9,27.5,23.2,29.5,16.2,16.2,15.0,16.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-05,63,25.3,28.4,23.4,29.5,19.2,19.2,14.0,19.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-06,65,25.5,28.8,23.1,30.5,34.8,34.8,14.0,13.6,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-07,65,24.0,25.8,22.5,28.7,39.3,39.3,22.0,12.3,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-08,55,25.6,30.0,22.4,30.4,4.9,4.9,14.0,17.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-09,65,25.2,29.0,23.3,30.5,55.5,55.5,16.0,8.3,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-10,63,25.2,28.1,23.5,29.8,18.6,18.6,16.0,15.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-11,61,26.2,30.1,23.0,31.0,3.1,3.1,9.0,14.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-12,63,24.9,27.8,23.1,29.4,29.3,29.3,12.0,14.4,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-13,61,25.7,29.8,23.2,30.8,7.8,7.8,12.0,15.4,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-14,55,26.0,29.7,23.5,30.4,7.6,7.6,16.0,18.3,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-15,63,25.7,29.3,23.5,30.2,18.0,18.0,12.0,17.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-16,65,25.4,28.8,23.5,30.0,16.6,16.6,14.0,16.9,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-17,63,25.5,28.4,23.2,29.9,15.9,15.9,18.0,20.4,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-18,65,25.5,29.0,23.4,30.0,20.5,20.5,13.0,18.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-19,63,25.7,28.5,24.0,30.4,13.2,13.2,16.0,17.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-20,63,24.2,26.4,23.3,29.0,40.7,40.7,24.0,10.6,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-21,63,25.6,30.7,22.5,30.3,5.1,5.1,6.0,12.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-22,61,26.4,31.2,23.1,31.3,2.2,2.2,7.0,11.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-23,63,25.9,30.0,23.5,31.3,16.4,16.4,13.0,11.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-24,65,25.5,29.1,23.7,30.5,38.9,38.9,15.0,11.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-25,65,25.3,29.1,22.6,30.0,31.0,31.0,14.0,12.9,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-26,63,26.0,30.0,23.7,30.2,24.0,24.0,19.0,20.6,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-27,61,26.4,29.9,23.7,30.2,2.6,2.6,7.0,22.3,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-28,53,26.2,29.6,23.1,30.1,2.7,2.7,8.0,21.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-29,53,26.1,29.7,23.2,30.1,3.5,3.5,10.0,17.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-30,53,26.0,29.9,22.5,30.2,3.0,3.0,4.0,16.1,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-01-31,63,26.3,30.4,22.7,30.9,4.6,4.6,5.0,15.9,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-01,63,26.5,29.7,23.9,31.3,10.4,10.4,10.0,16.1,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-02,63,26.4,30.2,23.1,31.6,9.2,9.2,8.0,14.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-03,63,26.6,31.2,23.8,31.9,7.6,7.6,11.0,14.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-04,51,26.6,32.0,22.4,31.4,0.3,0.3,2.0,15.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-05,61,26.5,31.3,22.8,31.3,2.8,2.8,6.0,15.7,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-06,63,26.5,32.0,22.4,31.6,5.4,5.4,8.0,17.5,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-07,63,26.6,30.6,23.6,31.7,6.6,6.6,6.0,15.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-08,61,26.5,31.0,23.2,32.1,3.2,3.2,9.0,9.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-09,65,26.5,31.0,24.3,31.7,10.0,10.0,6.0,14.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-10,65,26.0,31.1,22.4,29.8,14.6,14.6,6.0,20.0,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-11,53,26.3,30.8,22.5,29.8,0.8,0.8,4.0,24.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-12,63,25.6,27.2,24.0,29.0,21.9,21.9,18.0,20.8,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-13,63,25.9,28.9,23.8,29.5,15.1,15.1,10.0,23.2,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
1,Singapore,2024-02-14,51,26.9,30.6,24.1,31.2,0.8,0.8,7.0,22.5,True,open_meteo_historical_weather_api,2026-06-11T10:40:28Z
